"playerNr"	"period"	"nAnimals"	"animalName"	"treatment"	"firstEstimate"	"secondEstimate"	"p1"	"p2"	"p3"	"meanP"	"varP"	"skewP"	"counterI"	"counterII"	"counterIII"	"age"	"gender"	"SocInfo"	"S"	"emulTreat"	"case"	"inaccuracy"	"d1"	"d2"	"d3"	"e2"	"normS"
"2929"	89	39	74	"crane"	1	80	73	64	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.4375"	0.4375	NA	3	6	0.2	NA	NA	0.0875	NA
"2930"	89	40	69	"cricket"	1	66	73	80	NA	NA	NA	NA	NA	5	30	5	38	1	"0.5"	0.5	NA	3	3	0.212121212121212	NA	NA	0.106060606060606	NA
"2959"	91	1	93	"ant"	1	62	68	74	0	0	0	0	0	1	1	1	NA	NA	"0.5"	0.5	NA	3	31	0.193548387096774	NA	NA	0.0967741935483871	NA
"2960"	91	2	78	"bee"	1	53	56	63	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.3"	0.3	NA	3	25	0.188679245283019	NA	NA	0.0566037735849057	NA
"2961"	91	3	59	"flamingo"	1	57	59	68	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.181818181818182"	0.181818181818182	NA	3	2	0.192982456140351	NA	NA	0.0350877192982456	NA
"2962"	91	4	74	"crane"	1	66	68	80	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.142857142857143"	0.142857142857143	NA	3	8	0.212121212121212	NA	NA	0.0303030303030303	NA
"2963"	91	5	69	"cricket"	1	62	63	75	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.076923076923077"	0.0769230769230769	NA	3	7	0.209677419354839	NA	NA	0.0161290322580645	NA
"2999"	92	1	93	"ant"	1	73	80	89	0	0	0	0	0	1	1	1	NA	NA	"0.4375"	0.4375	NA	3	20	0.219178082191781	NA	NA	0.0958904109589041	NA
"3000"	92	2	78	"bee"	1	78	84	91	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.461538461538462"	0.461538461538462	NA	3	0	0.166666666666667	NA	NA	0.0769230769230769	NA
"3001"	92	3	59	"flamingo"	1	66	63	52	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.214285714285714"	0.214285714285714	NA	3	7	0.212121212121212	NA	NA	0.0454545454545455	NA
"3002"	92	4	74	"crane"	1	90	86	72	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.222222222222222"	0.222222222222222	NA	3	16	0.2	NA	NA	0.0444444444444444	NA
"3003"	92	5	69	"cricket"	1	64	70	77	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.461538461538462"	0.461538461538462	NA	3	5	0.203125	NA	NA	0.09375	NA
"3101"	95	36	93	"ant"	1	60	62	72	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.166666666666667"	0.166666666666667	NA	3	33	0.2	NA	NA	0.0333333333333333	NA
"3102"	95	37	78	"bee"	1	62	66	74	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	16	0.193548387096774	NA	NA	0.0645161290322581	NA
"3103"	95	38	59	"flamingo"	1	50	52	60	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0.2"	0.2	NA	3	9	0.2	NA	NA	0.04	NA
"3104"	95	39	74	"crane"	1	73	75	88	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.133333333333333"	0.133333333333333	NA	3	1	0.205479452054795	NA	NA	0.0273972602739726	NA
"3105"	95	40	69	"cricket"	1	62	64	75	NA	NA	NA	NA	NA	5	30	5	57	2	"0.153846153846154"	0.153846153846154	NA	3	7	0.209677419354839	NA	NA	0.032258064516129	NA
"3111"	96	6	93	"ant"	1	76	81	90	NA	NA	NA	NA	NA	1	1	5	NA	NA	"0.357142857142857"	0.357142857142857	NA	3	17	0.184210526315789	NA	NA	0.0657894736842105	NA
"3112"	96	7	78	"bee"	1	78	77	91	NA	NA	NA	NA	NA	2	1	5	NA	NA	"-0.076923076923077"	-0.0769230769230769	NA	1	0	0.166666666666667	NA	NA	0.0128205128205128	NA
"3113"	96	8	59	"flamingo"	1	71	66	56	NA	NA	NA	NA	NA	3	1	5	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	12	0.211267605633803	NA	NA	0.0704225352112676	NA
"3114"	96	9	74	"crane"	1	81	80	65	NA	NA	NA	NA	NA	4	1	5	NA	NA	"0.0625"	0.0625	NA	3	7	0.197530864197531	NA	NA	0.0123456790123457	NA
"3115"	96	10	69	"cricket"	1	62	64	75	NA	NA	NA	NA	NA	5	1	5	NA	NA	"0.153846153846154"	0.153846153846154	NA	3	7	0.209677419354839	NA	NA	0.032258064516129	NA
"3146"	97	1	93	"ant"	1	58	61	70	0	0	0	0	0	1	1	1	NA	NA	"0.25"	0.25	NA	3	35	0.206896551724138	NA	NA	0.0517241379310345	NA
"3147"	97	2	78	"bee"	1	72	74	85	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.153846153846154"	0.153846153846154	NA	3	6	0.180555555555556	NA	NA	0.0277777777777778	NA
"3148"	97	3	59	"flamingo"	1	60	57	48	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.25"	0.25	NA	3	1	0.2	NA	NA	0.05	NA
"3149"	97	4	74	"crane"	1	63	66	76	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.230769230769231"	0.230769230769231	NA	3	11	0.206349206349206	NA	NA	0.0476190476190476	NA
"3150"	97	5	69	"cricket"	1	60	62	72	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.166666666666667"	0.166666666666667	NA	3	9	0.2	NA	NA	0.0333333333333333	NA
"3186"	98	1	93	"ant"	1	35	35	42	0	0	0	0	0	1	1	1	NA	NA	"0"	0	NA	2	58	0.2	NA	NA	0	NA
"3187"	98	2	78	"bee"	1	28	30	35	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.285714285714286"	0.285714285714286	NA	3	50	0.25	NA	NA	0.0714285714285714	NA
"3188"	98	3	59	"flamingo"	1	39	39	48	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0"	0	NA	2	20	0.230769230769231	NA	NA	0	NA
"3189"	98	4	74	"crane"	1	45	45	55	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0"	0	NA	2	29	0.222222222222222	NA	NA	0	NA
"3190"	98	5	69	"cricket"	1	28	28	34	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0"	0	NA	2	41	0.214285714285714	NA	NA	0	NA
"3261"	99	36	93	"ant"	1	78	81	95	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.176470588235294"	0.176470588235294	NA	3	15	0.217948717948718	NA	NA	0.0384615384615385	NA
"3262"	99	37	78	"bee"	1	77	78	91	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0.071428571428572"	0.0714285714285714	NA	3	1	0.181818181818182	NA	NA	0.012987012987013	NA
"3263"	99	38	59	"flamingo"	1	63	63	50	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0"	0	NA	2	4	0.206349206349206	NA	NA	0	NA
"3264"	99	39	74	"crane"	1	70	70	83	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0"	0	NA	2	4	0.185714285714286	NA	NA	0	NA
"3265"	99	40	69	"cricket"	1	58	59	70	NA	NA	NA	NA	NA	5	30	5	35	2	"0.083333333333333"	0.0833333333333333	NA	3	11	0.206896551724138	NA	NA	0.0172413793103448	NA
"3296"	100	31	93	"ant"	1	71	71	85	NA	NA	NA	NA	NA	1	30	1	NA	NA	"0"	0	NA	2	22	0.197183098591549	NA	NA	0	NA
"3297"	100	32	78	"bee"	1	77	78	91	NA	NA	NA	NA	NA	2	30	1	NA	NA	"0.071428571428572"	0.0714285714285714	NA	3	1	0.181818181818182	NA	NA	0.012987012987013	NA
"3298"	100	33	59	"flamingo"	1	75	75	60	NA	NA	NA	NA	NA	3	30	1	NA	NA	"0"	0	NA	2	16	0.2	NA	NA	0	NA
"3299"	100	34	74	"crane"	1	95	99	76	NA	NA	NA	NA	NA	4	30	1	NA	NA	"-0.210526315789474"	-0.210526315789474	NA	1	21	0.2	NA	NA	0.0421052631578947	NA
"3300"	100	35	69	"cricket"	1	65	72	77	NA	NA	NA	NA	NA	5	30	1	NA	NA	"0.583333333333333"	0.583333333333333	NA	3	4	0.184615384615385	NA	NA	0.107692307692308	NA
"3341"	101	36	93	"ant"	1	53	55	64	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.181818181818182"	0.181818181818182	NA	3	40	0.207547169811321	NA	NA	0.0377358490566038	NA
"3342"	101	37	78	"bee"	1	40	42	47	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0.285714285714286"	0.285714285714286	NA	3	38	0.175	NA	NA	0.05	NA
"3343"	101	38	59	"flamingo"	1	32	35	38	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0.5"	0.5	NA	3	27	0.1875	NA	NA	0.09375	NA
"3344"	101	39	74	"crane"	1	55	58	65	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.3"	0.3	NA	3	19	0.181818181818182	NA	NA	0.0545454545454545	NA
"3345"	101	40	69	"cricket"	1	49	53	59	NA	NA	NA	NA	NA	5	30	5	50	1	"0.4"	0.4	NA	3	20	0.204081632653061	NA	NA	0.0816326530612245	NA
"3351"	102	6	93	"ant"	1	85	93	100	NA	NA	NA	NA	NA	1	1	5	NA	NA	"0.533333333333333"	0.533333333333333	NA	3	8	0.176470588235294	NA	NA	0.0941176470588235	NA
"3352"	102	7	78	"bee"	1	80	72	63	NA	NA	NA	NA	NA	2	1	5	NA	NA	"0.470588235294118"	0.470588235294118	NA	3	2	0.2125	NA	NA	0.1	NA
"3353"	102	8	59	"flamingo"	1	50	54	60	NA	NA	NA	NA	NA	3	1	5	NA	NA	"0.4"	0.4	NA	3	9	0.2	NA	NA	0.08	NA
"3354"	102	9	74	"crane"	1	86	80	69	NA	NA	NA	NA	NA	4	1	5	NA	NA	"0.352941176470588"	0.352941176470588	NA	3	12	0.197674418604651	NA	NA	0.0697674418604651	NA
"3355"	102	10	69	"cricket"	1	60	64	72	NA	NA	NA	NA	NA	5	1	5	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	9	0.2	NA	NA	0.0666666666666667	NA
"3386"	103	1	93	"ant"	1	62	68	74	0	0	0	0	0	1	1	1	NA	NA	"0.5"	0.5	NA	3	31	0.193548387096774	NA	NA	0.0967741935483871	NA
"3387"	103	2	78	"bee"	1	58	62	70	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	20	0.206896551724138	NA	NA	0.0689655172413793	NA
"3388"	103	3	59	"flamingo"	1	43	46	52	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	16	0.209302325581395	NA	NA	0.0697674418604651	NA
"3389"	103	4	74	"crane"	1	56	59	67	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.272727272727273"	0.272727272727273	NA	3	18	0.196428571428571	NA	NA	0.0535714285714286	NA
"3390"	103	5	69	"cricket"	1	47	47	56	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0"	0	NA	2	22	0.191489361702128	NA	NA	0	NA
"3478"	105	36	93	"ant"	1	85	85	100	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0"	0	NA	2	8	0.176470588235294	NA	NA	0	NA
"3479"	105	37	78	"bee"	1	75	75	90	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0"	0	NA	2	3	0.2	NA	NA	0	NA
"3480"	105	38	59	"flamingo"	1	65	65	52	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0"	0	NA	2	6	0.2	NA	NA	0	NA
"3481"	105	39	74	"crane"	1	85	85	68	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0"	0	NA	2	11	0.2	NA	NA	0	NA
"3482"	105	40	69	"cricket"	1	55	55	66	NA	NA	NA	NA	NA	5	30	5	29	2	"0"	0	NA	2	14	0.2	NA	NA	0	NA
"3519"	107	36	93	"ant"	1	69	70	84	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.066666666666667"	0.0666666666666667	NA	3	24	0.217391304347826	NA	NA	0.0144927536231884	NA
"3520"	107	37	78	"bee"	1	60	60	72	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0"	0	NA	2	18	0.2	NA	NA	0	NA
"3521"	107	38	59	"flamingo"	1	51	50	60	NA	NA	NA	NA	NA	3	30	5	NA	NA	"-0.111111111111111"	-0.111111111111111	NA	1	8	0.176470588235294	NA	NA	0.0196078431372549	NA
"3522"	107	39	74	"crane"	1	63	67	76	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.307692307692308"	0.307692307692308	NA	3	11	0.206349206349206	NA	NA	0.0634920634920635	NA
"3523"	107	40	69	"cricket"	1	50	50	60	NA	NA	NA	NA	NA	5	30	5	34	2	"0"	0	NA	2	19	0.2	NA	NA	0	NA
"3529"	108	6	93	"ant"	1	55	60	67	NA	NA	NA	NA	NA	1	1	5	NA	NA	"0.416666666666667"	0.416666666666667	NA	3	38	0.218181818181818	NA	NA	0.0909090909090909	NA
"3530"	108	7	78	"bee"	1	57	61	68	NA	NA	NA	NA	NA	2	1	5	NA	NA	"0.363636363636364"	0.363636363636364	NA	3	21	0.192982456140351	NA	NA	0.0701754385964912	NA
"3531"	108	8	59	"flamingo"	1	52	54	64	NA	NA	NA	NA	NA	3	1	5	NA	NA	"0.166666666666667"	0.166666666666667	NA	3	7	0.230769230769231	NA	NA	0.0384615384615385	NA
"3532"	108	9	74	"crane"	1	67	74	80	NA	NA	NA	NA	NA	4	1	5	NA	NA	"0.538461538461538"	0.538461538461538	NA	3	7	0.194029850746269	NA	NA	0.104477611940299	NA
"3533"	108	10	69	"cricket"	1	62	67	75	NA	NA	NA	NA	NA	5	1	5	NA	NA	"0.384615384615385"	0.384615384615385	NA	3	7	0.209677419354839	NA	NA	0.0806451612903226	NA
"3564"	109	1	93	"ant"	1	89	89	100	0	0	0	0	0	1	1	1	NA	NA	"0"	0	NA	2	4	0.123595505617978	NA	NA	0	NA
"3565"	109	2	78	"bee"	1	80	70	65	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.666666666666667"	0.666666666666667	NA	3	2	0.1875	NA	NA	0.125	NA
"3566"	109	3	59	"flamingo"	1	73	65	58	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.533333333333333"	0.533333333333333	NA	3	14	0.205479452054795	NA	NA	0.10958904109589	NA
"3567"	109	4	74	"crane"	1	95	94	76	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.052631578947369"	0.0526315789473684	NA	3	21	0.2	NA	NA	0.0105263157894737	NA
"3568"	109	5	69	"cricket"	1	66	71	80	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.357142857142857"	0.357142857142857	NA	3	3	0.212121212121212	NA	NA	0.0757575757575758	NA
"3664"	112	31	93	"ant"	1	76	85	90	NA	NA	NA	NA	NA	1	30	1	NA	NA	"0.642857142857143"	0.642857142857143	NA	3	17	0.184210526315789	NA	NA	0.118421052631579	NA
"3665"	112	32	78	"bee"	1	71	75	85	NA	NA	NA	NA	NA	2	30	1	NA	NA	"0.285714285714286"	0.285714285714286	NA	3	7	0.197183098591549	NA	NA	0.0563380281690141	NA
"3666"	112	33	59	"flamingo"	1	51	54	60	NA	NA	NA	NA	NA	3	30	1	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	8	0.176470588235294	NA	NA	0.0588235294117647	NA
"3667"	112	34	74	"crane"	1	84	82	67	NA	NA	NA	NA	NA	4	30	1	NA	NA	"0.117647058823529"	0.117647058823529	NA	3	10	0.202380952380952	NA	NA	0.0238095238095238	NA
"3668"	112	35	69	"cricket"	1	64	64	77	NA	NA	NA	NA	NA	5	30	1	NA	NA	"0"	0	NA	2	5	0.203125	NA	NA	0	NA
"3709"	113	36	93	"ant"	1	43	49	52	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.666666666666667"	0.666666666666667	NA	3	50	0.209302325581395	NA	NA	0.13953488372093	NA
"3710"	113	37	78	"bee"	1	91	80	72	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0.578947368421053"	0.578947368421053	NA	3	13	0.208791208791209	NA	NA	0.120879120879121	NA
"3711"	113	38	59	"flamingo"	1	65	63	52	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0.153846153846154"	0.153846153846154	NA	3	6	0.2	NA	NA	0.0307692307692308	NA
"3712"	113	39	74	"crane"	1	65	68	78	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.230769230769231"	0.230769230769231	NA	3	9	0.2	NA	NA	0.0461538461538462	NA
"3713"	113	40	69	"cricket"	1	71	63	57	NA	NA	NA	NA	NA	5	30	5	42	2	"0.571428571428571"	0.571428571428571	NA	3	2	0.197183098591549	NA	NA	0.112676056338028	NA
"3719"	114	6	93	"ant"	1	53	56	64	NA	NA	NA	NA	NA	1	1	5	NA	NA	"0.272727272727273"	0.272727272727273	NA	3	40	0.207547169811321	NA	NA	0.0566037735849057	NA
"3720"	114	7	78	"bee"	1	66	73	80	NA	NA	NA	NA	NA	2	1	5	NA	NA	"0.5"	0.5	NA	3	12	0.212121212121212	NA	NA	0.106060606060606	NA
"3721"	114	8	59	"flamingo"	1	33	36	40	NA	NA	NA	NA	NA	3	1	5	NA	NA	"0.428571428571429"	0.428571428571429	NA	3	26	0.212121212121212	NA	NA	0.0909090909090909	NA
"3722"	114	9	74	"crane"	1	54	59	65	NA	NA	NA	NA	NA	4	1	5	NA	NA	"0.454545454545455"	0.454545454545455	NA	3	20	0.203703703703704	NA	NA	0.0925925925925926	NA
"3723"	114	10	69	"cricket"	1	43	46	53	NA	NA	NA	NA	NA	5	1	5	NA	NA	"0.3"	0.3	NA	3	26	0.232558139534884	NA	NA	0.0697674418604651	NA
"3754"	115	1	93	"ant"	1	25	27	30	0	0	0	0	0	1	1	1	NA	NA	"0.4"	0.4	NA	3	68	0.2	NA	NA	0.08	NA
"3755"	115	2	78	"bee"	1	43	46	52	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	35	0.209302325581395	NA	NA	0.0697674418604651	NA
"3756"	115	3	59	"flamingo"	1	51	53	60	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.222222222222222"	0.222222222222222	NA	3	8	0.176470588235294	NA	NA	0.0392156862745098	NA
"3757"	115	4	74	"crane"	1	68	74	83	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.4"	0.4	NA	3	6	0.220588235294118	NA	NA	0.0882352941176471	NA
"3758"	115	5	69	"cricket"	1	74	71	59	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.2"	0.2	NA	3	5	0.202702702702703	NA	NA	0.0405405405405405	NA
"3794"	116	1	93	"ant"	1	40	42	48	0	0	0	0	0	1	1	1	NA	NA	"0.25"	0.25	NA	3	53	0.2	NA	NA	0.05	NA
"3795"	116	2	78	"bee"	1	45	48	55	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.3"	0.3	NA	3	33	0.222222222222222	NA	NA	0.0666666666666667	NA
"3796"	116	3	59	"flamingo"	1	40	41	48	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.125"	0.125	NA	3	19	0.2	NA	NA	0.025	NA
"3797"	116	4	74	"crane"	1	55	58	65	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.3"	0.3	NA	3	19	0.181818181818182	NA	NA	0.0545454545454545	NA
"3798"	116	5	69	"cricket"	1	50	52	60	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.2"	0.2	NA	3	19	0.2	NA	NA	0.04	NA
"3869"	117	36	93	"ant"	1	92	100	120	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.285714285714286"	0.285714285714286	NA	3	1	0.304347826086957	NA	NA	0.0869565217391304	NA
"3870"	117	37	78	"bee"	1	73	77	88	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0.266666666666667"	0.266666666666667	NA	3	5	0.205479452054795	NA	NA	0.0547945205479452	NA
"3871"	117	38	59	"flamingo"	1	61	62	49	NA	NA	NA	NA	NA	3	30	5	NA	NA	"-0.083333333333333"	-0.0833333333333333	NA	1	2	0.19672131147541	NA	NA	0.0163934426229508	NA
"3872"	117	39	74	"crane"	1	80	76	64	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.25"	0.25	NA	3	6	0.2	NA	NA	0.05	NA
"3873"	117	40	69	"cricket"	1	63	68	76	NA	NA	NA	NA	NA	5	30	5	28	1	"0.384615384615385"	0.384615384615385	NA	3	6	0.206349206349206	NA	NA	0.0793650793650794	NA
"3904"	118	31	93	"ant"	1	69	74	84	NA	NA	NA	NA	NA	1	30	1	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	24	0.217391304347826	NA	NA	0.072463768115942	NA
"3905"	118	32	78	"bee"	1	68	73	80	NA	NA	NA	NA	NA	2	30	1	NA	NA	"0.416666666666667"	0.416666666666667	NA	3	10	0.176470588235294	NA	NA	0.0735294117647059	NA
"3906"	118	33	59	"flamingo"	1	73	67	58	NA	NA	NA	NA	NA	3	30	1	NA	NA	"0.4"	0.4	NA	3	14	0.205479452054795	NA	NA	0.0821917808219178	NA
"3907"	118	34	74	"crane"	1	77	76	62	NA	NA	NA	NA	NA	4	30	1	NA	NA	"0.066666666666667"	0.0666666666666667	NA	3	3	0.194805194805195	NA	NA	0.012987012987013	NA
"3908"	118	35	69	"cricket"	1	66	68	80	NA	NA	NA	NA	NA	5	30	1	NA	NA	"0.142857142857143"	0.142857142857143	NA	3	3	0.212121212121212	NA	NA	0.0303030303030303	NA
"4012"	123	36	93	"ant"	1	67	78	80	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.846153846153846"	0.846153846153846	NA	3	26	0.194029850746269	NA	NA	0.164179104477612	NA
"4013"	123	37	78	"bee"	1	66	84	80	NA	NA	NA	NA	NA	2	30	5	NA	NA	"1.28571428571429"	1.28571428571429	NA	9	12	0.212121212121212	NA	NA	0.272727272727273	NA
"4014"	123	38	59	"flamingo"	1	82	70	66	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0.75"	0.75	NA	3	23	0.195121951219512	NA	NA	0.146341463414634	NA
"4015"	123	39	74	"crane"	1	73	86	88	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.866666666666667"	0.866666666666667	NA	3	1	0.205479452054795	NA	NA	0.178082191780822	NA
"4016"	123	40	69	"cricket"	1	78	67	62	NA	NA	NA	NA	NA	5	30	5	27	1	"0.6875"	0.6875	NA	3	9	0.205128205128205	NA	NA	0.141025641025641	NA
"4082"	125	36	93	"ant"	1	84	87	100	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.1875"	0.1875	NA	3	9	0.19047619047619	NA	NA	0.0357142857142857	NA
"4083"	125	37	78	"bee"	1	81	72	65	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0.5625"	0.5625	NA	3	3	0.197530864197531	NA	NA	0.111111111111111	NA
"4084"	125	38	59	"flamingo"	1	62	56	50	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0.5"	0.5	NA	3	3	0.193548387096774	NA	NA	0.0967741935483871	NA
"4085"	125	39	74	"crane"	1	60	65	72	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.416666666666667"	0.416666666666667	NA	3	14	0.2	NA	NA	0.0833333333333333	NA
"4086"	125	40	69	"cricket"	1	61	67	73	NA	NA	NA	NA	NA	5	30	5	27	1	"0.5"	0.5	NA	3	8	0.19672131147541	NA	NA	0.0983606557377049	NA
"4092"	126	6	93	"ant"	1	65	70	78	NA	NA	NA	NA	NA	1	1	5	NA	NA	"0.384615384615385"	0.384615384615385	NA	3	28	0.2	NA	NA	0.0769230769230769	NA
"4093"	126	7	78	"bee"	1	45	45	53	NA	NA	NA	NA	NA	2	1	5	NA	NA	"0"	0	NA	2	33	0.177777777777778	NA	NA	0	NA
"4094"	126	8	59	"flamingo"	1	44	45	52	NA	NA	NA	NA	NA	3	1	5	NA	NA	"0.125"	0.125	NA	3	15	0.181818181818182	NA	NA	0.0227272727272727	NA
"4095"	126	9	74	"crane"	1	55	56	65	NA	NA	NA	NA	NA	4	1	5	NA	NA	"0.1"	0.1	NA	3	19	0.181818181818182	NA	NA	0.0181818181818182	NA
"4096"	126	10	69	"cricket"	1	40	40	48	NA	NA	NA	NA	NA	5	1	5	NA	NA	"0"	0	NA	2	29	0.2	NA	NA	0	NA
"4127"	127	1	93	"ant"	1	78	80	95	0	0	0	0	0	1	1	1	NA	NA	"0.117647058823529"	0.117647058823529	NA	3	15	0.217948717948718	NA	NA	0.0256410256410256	NA
"4128"	127	2	78	"bee"	1	37	36	44	NA	NA	NA	NA	NA	2	1	1	NA	NA	"-0.142857142857143"	-0.142857142857143	NA	1	41	0.189189189189189	NA	NA	0.027027027027027	NA
"4129"	127	3	59	"flamingo"	1	32	32	38	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0"	0	NA	2	27	0.1875	NA	NA	0	NA
"4130"	127	4	74	"crane"	1	66	67	80	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.071428571428572"	0.0714285714285714	NA	3	8	0.212121212121212	NA	NA	0.0151515151515152	NA
"4131"	127	5	69	"cricket"	1	71	69	57	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.142857142857143"	0.142857142857143	NA	3	2	0.197183098591549	NA	NA	0.028169014084507	NA
"4167"	128	1	93	"ant"	1	52	60	62	0	0	0	0	0	1	1	1	NA	NA	"0.8"	0.8	NA	3	41	0.192307692307692	NA	NA	0.153846153846154	NA
"4168"	128	2	78	"bee"	1	70	76	84	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.428571428571429"	0.428571428571429	NA	3	8	0.2	NA	NA	0.0857142857142857	NA
"4169"	128	3	59	"flamingo"	1	42	45	50	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.375"	0.375	NA	3	17	0.19047619047619	NA	NA	0.0714285714285714	NA
"4170"	128	4	74	"crane"	1	79	70	64	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.6"	0.6	NA	3	5	0.189873417721519	NA	NA	0.113924050632911	NA
"4171"	128	5	69	"cricket"	1	46	50	55	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.444444444444444"	0.444444444444444	NA	3	23	0.195652173913043	NA	NA	0.0869565217391304	NA
"4242"	129	36	93	"ant"	1	51	56	62	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.454545454545455"	0.454545454545455	NA	3	42	0.215686274509804	NA	NA	0.0980392156862745	NA
"4243"	129	37	78	"bee"	1	53	53	63	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0"	0	NA	2	25	0.188679245283019	NA	NA	0	NA
"4244"	129	38	59	"flamingo"	1	64	60	51	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0.307692307692308"	0.307692307692308	NA	3	5	0.203125	NA	NA	0.0625	NA
"4245"	129	39	74	"crane"	1	64	69	77	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.384615384615385"	0.384615384615385	NA	3	10	0.203125	NA	NA	0.078125	NA
"4246"	129	40	69	"cricket"	1	72	65	58	NA	NA	NA	NA	NA	5	30	5	57	2	"0.5"	0.5	NA	3	3	0.194444444444444	NA	NA	0.0972222222222222	NA
"17"	1	17	59	"bee"	2	64	62	49	50	55	51.333	10.333	0.343	5	12	1	NA	NA	"0.157890581826794"	0.157890581826794	NA	3	5	0.140625	0.21875	0.234375	0.03125	NA
"18"	1	18	93	"flamingo"	2	97	95	75	77	81	77.667	9.333	0.208	5	13	1	NA	NA	"0.103450059483784"	0.103450059483784	NA	3	4	0.164948453608247	0.206185567010309	0.22680412371134	0.0206185567010309	NA
