playerNr;period;nAnimals;animalName;treatment;firstEstimate;secondEstimate;p1;p2;p3;meanP;varP;skewP;age;gender;SocInfo
6;18;50;flamingo;6;51;51;25;45;54;41.333;220.333;-0.232;;;0
6;19;62;crane;6;66;67;47;71;89;69;444;-0.094;;;0.333333333
6;20;71;cricket;5;56;62;61;62;79;67.333;102.333;0.381;;;0.529427336
6;21;88;ant;4;65;66;66;83;84;77.667;102.333;-0.381;;;0.078945291
6;22;59;bee;2;54;60;62;64;68;64.667;9.333;0.208;;;0.562482422
6;23;93;flamingo;2;69;81;80;82;86;82.667;9.333;0.208;;;0.878027365
6;24;99;crane;5;70;82;78;79;96;84.333;102.333;0.381;;;0.837228773
6;25;58;cricket;4;49;63;50;66;67;61;91;-0.38;;;1.166.666.667
6;26;79;ant;5;69;77;79;80;97;85.333;102.333;0.381;;;0.489805914
6;27;50;bee;4;46;50;47;62;65;58;93;-0.343;;;0.333333333
6;28;69;flamingo;6;47;47;37;45;67;49.667;241.333;0.273;;;0
6;29;52;crane;4;58;54;39;41;57;45.667;97.333;0.367;;;0.32433309
6;30;97;cricket;6;68;68;20;43;80;47.667;916.333;0.15;;;0
6;31;71;ant;2;70;79;82;88;89;86.333;14.333;-0.355;;;0.551031654
6;32;97;bee;6;70;90;24;122;125;90.333;3.302.333;-0.384;;;0.983622682
6;33;89;flamingo;3;61;61;63;74;83;73.333;100.333;-0.066;;;0
6;34;93;crane;3;72;76;76;87;96;86.333;100.333;-0.066;;;0.279076258
6;35;58;cricket;2;40;45;45;48;51;48;9;0;;;0.625
6;36;53;ant;6;46;48;54;55;59;56;7;0.324;;;0.2
6;37;80;bee;3;61;61;62;75;82;73;103;-0.189;;;0
6;38;58;flamingo;4;42;42;43;59;61;54.333;97.333;-0.367;;;0
6;39;86;crane;2;75;85;87;90;93;90;9;0;;;0.666666667
6;40;70;cricket;3;58;60;60;70;80;70;100;0;38;2;0.166666667
7;1;93;ant;1;90;95;100;0;0;0;0;0;;;0.5
7;2;78;bee;1;70;76;84;;;;;;;;0.428571429
7;3;59;flamingo;1;63;60;50;;;;;;;;0.230769231
7;4;74;crane;1;85;80;68;;;;;;;;0.294117647
7;5;69;cricket;1;75;73;60;;;;;;;;0.133333333
7;6;98;ant;6;80;80;39;73;109;73.667;1.225.333;0.019;;;0
7;7;77;bee;5;75;87;85;89;105;93;112;0.324;;;0.666666667
7;8;98;flamingo;5;100;90;68;83;87;79.333;100.333;-0.317;;;0.483863163
7;9;85;crane;6;69;69;44;45;121;70;1951;0.385;;;0
7;10;84;cricket;6;76;78;42;56;79;59;349;0.156;;;-0.117647059
7;11;60;ant;3;56;61;57;67;77;67;100;0;;;0.454545455
7;12;98;bee;6;82;82;62;94;113;89.667;664.333;-0.163;;;0
